,商品名,価格,ポイント倍率
0,Anker Nebula Cosmos Max (4K UHD / Android TV 9.0搭載 スマートプロジェクター) 【1500ANSI ルーメン / 最大150インチ投影 / オートフォーカス機能 / Dolby&#174;&#65038; Digital Plus搭載 / ズーム機能 / HDR10対応】,179980,1
1,Anker Nebula Cosmos (フルHD 1080p Android TV 9.0搭載 スマートプロジェクター)【900ANSI ルーメン / 最大120インチ投影 / オートフォーカス機能 / 20Wスピーカー / ズームイン機能 / HDR10対応】,79980,1
2,Anker Nebula Capsule II（世界初 Android TV搭載 モバイルプロジェクター）【200 ANSIルーメン / オートフォーカス機能 / 8W スピーカー】,59800,1
3,Anker Eufy RoboVac L70 Hybrid（ロボット掃除機）【2-in-1 吸い・ 拭き両用/静音設計/iPathレーザーナビゲーション/Wi-Fi対応/リアルタイムマッピング / 2200Paの強力吸引/ 自動充電/落下防止/衝突防止搭載】,54800,1
4,"ポータブル電源 Anker PowerHouse ポータブル電源(434Wh / 120,600mAh) 【静音インバーター / USB & AC & DC出力対応 / PowerIQ搭載 / PSE認証済】 キャンプ、車中泊、緊急・災害時バックアップ用電源",49800,1
5,プロジェクター Anker Nebula Capsule Pro モバイルプロジェクターAndroid搭載【150 ANSIルーメン/DLP搭載 / 360度スピーカー】,46800,1
6,プロジェクター Anker Nebula Capsule 小型モバイルプロジェクター Android搭載【100 ANSIルーメン/DLP搭載/360度スピーカー】,39999,1
7,ポータブル電源 Anker PowerHouse 200 (213Wh / 57600mAh ポータブル電源) 【PSE認証済 / USB-A出力 & USB-C入出力 & AC出力 & DCシガーソケット出力対応 / PowerIQ搭載】 キャンプ、緊急・災害時バックアップ用電源,29800,1
8,ロボット掃除機 Anker Eufy RoboVac G10 Hybrid【スマート・ダイナミック・ナビゲーション / 2-in-1 吸引・水拭き両用 / Wi-Fi対応/超薄型 / 2000Paの強力吸引 / 静音設計 /自動充電 / フローリング用】,26800,1
9,Anker Eufy RoboVac 15T (ロボット掃除機)【BoostIQ搭載/タッチコントロールパネル/超薄型 / 1500Paの強力吸引 / 静音設計/自動充電/フローリング/カーペット】,21800,1
10,ロボット掃除機 Anker Eufy RoboVac 15C（ロボット掃除機 by Anker)【BoostIQ搭載/Wi-Fi対応/超薄型 / 1300Paの強力吸引 / 静音設計/自動充電】,20800,1
11,ロボット掃除機 Anker Eufy RoboVac 11S（薄型ロボット掃除機)【BoostIQ搭載/超薄型 / 1300Paの強力吸引 / 静音設計/自動充電】,18800,1
12,Anker Eufy HomeVac S11 Go (コードレス掃除機) 【2層サイクロン / 120AWの吸引力】,17800,1
13,"Anker PowerHouse 100 (ポータブル電源 27,000mAh / 97.2Wh 出力45Wの充電器付き) 【純正弦波 AC100W / PD対応 45W 入出力 / PowerIQ 3.0 (Gen2)搭載 / ◇PSE認証済】アウトドア 車中泊 緊急 災害時 非常用電源",15990,1
14,Anker PowerConf (会議用 Bluetooth スピーカーフォン)【 全指向性マイク/エコーキャンセリング/ノイズキャンセリング/大容量バッテリー/Skype Zoom など対応 / 24時間連続使用 / USB-C接続/PowerIQ 対応】,12980,1
15,モバイルバッテリー Anker PowerCore+ 19000 PD（19000mAh PD対応 3ポート 超大容量 モバイルバッテリー）【PSE認証済 / 30W USB-C急速充電器付属/Power Delivery対応/USB-C入出力ポート/USBハブモード搭載/データ転送対応】iPhone&Android対応,10999,1
16,Anker Soundcore Motion+（30W Bluetooth 5.0 スピーカー）【ハイレゾ対応 / 12時間連続再生 / Qualcomm&#174; aptX&#8482; audio対応/BassUpテクノロジー / IPX7防水規格 / USB-C入力】,10999,1
17,Anker PowerCore III Elite 25600 87W (PD対応 25600mAh 超大容量 モバイルバッテリー)【PowerIQ 3.0 (Gen2) / USB Power Delivery 対応/USB-C入出力ポート/低電流モード搭載/PSE認証済】MacBook Lenovo HP iPad iPhone Android 各種対応,10490,1
18,Anker PowerCore+ 26800 PD 45W (26800mAh 2ポート 超大容量 モバイルバッテリー)【PSE認証済 / Power Delivery対応 / USB-C入出力ポート / USB-C急速充電器付属】iPhone / iPad / Android 他各種対応,9999,1
19,Anker Soundcore Liberty 2（ワイヤレスイヤホン Bluetooth 5.0）【IPX5防水規格 / 最大32時間音楽再生 / HearID機能/Qualcomm aptX&#8482; / cVc8.0ノイズキャンセリング / マイク内蔵 / PSE認証済】,9999,1
20,Bluetooth スピーカー Anker Zolo SonicG（Googleアシスタントスマートスピーカー）迫力あるクリアサウンドを実現した、シンプルで洗練されたコンパクトデザインのスマートスピーカー,8980,1
